GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Deal,com.munsun.deal.services.impl,DefaultDealService,29,181,6,2,7,36,4,7,0,7
Deal,com.munsun.deal.dto.request.annotations,DiffPresentAndCurrentValidator,0,11,0,0,0,3,0,2,0,2
Deal,com.munsun.deal.dto.request,EmploymentDto,0,21,0,0,0,1,0,1,0,1
Deal,com.munsun.deal.dto.request,LoanStatementRequestDto,0,30,0,0,0,1,0,1,0,1
Deal,com.munsun.deal.dto.request,FinishRegistrationRequestDto,0,24,0,0,0,1,0,1,0,1
Deal,com.munsun.deal.dto.request,ScoringDataDto,0,57,0,0,0,1,0,1,0,1
Deal,com.munsun.deal.aspects,CreditMapperAspects,1,15,0,0,1,5,1,3,1,3
Deal,com.munsun.deal.aspects,DealServiceAspect,3,45,0,0,3,14,3,5,3,5
Deal,com.munsun.deal.aspects,ScoringMapperAspects,1,16,0,0,1,5,1,3,1,3
Deal,com.munsun.deal.aspects,ClientMapperAspects,1,15,0,0,1,5,1,3,1,3
Deal,com.munsun.deal.aspects,DealControllerAspect,64,7,0,0,21,2,6,2,6,2
Deal,com.munsun.deal.aspects,CalculatorFeignClientAspects,1,15,0,0,1,5,1,3,1,3
Deal,com.munsun.deal.dto.response,ErrorMessageDto,0,6,0,0,0,1,0,1,0,1
Deal,com.munsun.deal.dto.response,PaymentScheduleElementDto,0,21,0,0,0,1,0,1,0,1
Deal,com.munsun.deal.dto.response,LoanOfferDto,0,45,0,0,0,10,0,2,0,2
Deal,com.munsun.deal.dto.response,CreditDto,0,27,0,0,0,1,0,1,0,1
Deal,com.munsun.deal.mapping,ScoringMapperImpl,60,312,33,45,29,119,32,20,0,13
Deal,com.munsun.deal.mapping,CreditMapperImpl,2,57,2,2,1,14,2,2,0,2
Deal,com.munsun.deal.mapping,ClientMapperImpl,4,58,2,2,2,15,2,3,0,3
Deal,com.munsun.deal.controllers,DealRestController,16,6,0,0,5,1,3,1,3,1
Deal,com.munsun.deal.models.enums,MaritalStatus,0,27,0,0,0,2,0,1,0,1
Deal,com.munsun.deal.models.enums,EmploymentStatus,0,27,0,0,0,2,0,1,0,1
Deal,com.munsun.deal.models.enums,Gender,0,21,0,0,0,2,0,1,0,1
Deal,com.munsun.deal.models.enums,CreditStatus,0,15,0,0,0,2,0,1,0,1
Deal,com.munsun.deal.models.enums,EmploymentPosition,0,27,0,0,0,2,0,1,0,1
Deal,com.munsun.deal.models.enums,ChangeType,0,15,0,0,0,2,0,1,0,1
Deal,com.munsun.deal.models.enums,ApplicationStatus,0,57,0,0,0,10,0,1,0,1
Deal,com.munsun.deal.models,Client.ClientBuilder,51,66,0,0,0,1,6,9,6,9
Deal,com.munsun.deal.models,Statement.StatementBuilder,30,60,0,0,0,1,3,9,3,9
Deal,com.munsun.deal.models,Credit.CreditBuilder,32,67,0,0,0,1,3,10,3,10
Deal,com.munsun.deal.models,Statement,33,95,0,2,3,21,9,15,9,14
Deal,com.munsun.deal.models,Credit,36,74,0,0,0,14,9,14,9,14
Deal,com.munsun.deal.models,Client,63,67,0,0,6,10,17,10,17,10
Deal,com.munsun.deal,DealApplication,5,3,0,0,2,1,1,1,1,1
Deal,com.munsun.deal.models.json,PaymentScheduleElement,70,0,0,0,10,0,15,0,15,0
Deal,com.munsun.deal.models.json,Employment.EmploymentBuilder,72,0,0,0,1,0,10,0,10,0
Deal,com.munsun.deal.models.json,PaymentScheduleElement.PaymentScheduleElementBuilder,63,0,0,0,1,0,9,0,9,0
Deal,com.munsun.deal.models.json,Passport.PassportBuilder,27,27,0,0,0,1,4,4,4,4
Deal,com.munsun.deal.models.json,StatusHistory,0,28,0,0,0,6,0,6,0,6
Deal,com.munsun.deal.models.json,Employment,80,0,0,0,11,0,17,0,17,0
Deal,com.munsun.deal.models.json,StatusHistory.StatusHistoryBuilder,13,23,0,0,0,1,2,4,2,4
Deal,com.munsun.deal.models.json,Passport,0,60,0,0,0,9,0,13,0,13
Deal,com.munsun.deal.advice,DealRestControllerAdvice,60,36,0,0,17,9,4,4,4,4
Deal,com.munsun.deal.exceptions,StatementNotFoundException,4,6,0,0,2,2,1,1,1,1
Deal,com.munsun.deal.exceptions,PrescoringException,0,4,0,0,0,2,0,1,0,1
Deal,com.munsun.deal.exceptions,ScoringException,4,0,0,0,2,0,1,0,1,0
